               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 126,              0.7947,             0.39544,             0.83606,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011607,           0.0011607,           0.0011607
                 127,             0.79168,             0.39399,             0.83445,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                 128,             0.78656,             0.39094,             0.83307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010193,           0.0010193,           0.0010193
                 129,             0.78479,             0.39063,             0.83325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00094857,          0.00094857,          0.00094857
                 130,             0.77968,             0.38805,             0.83238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087786,          0.00087786,          0.00087786
                 131,             0.77856,             0.38716,               0.832,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00080714,          0.00080714,          0.00080714
                 132,             0.76889,             0.38081,             0.83191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00073643,          0.00073643,          0.00073643
                 133,             0.76549,             0.37953,             0.83008,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00066571,          0.00066571,          0.00066571
                 134,             0.76176,             0.37795,              0.8298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                 135,              0.7575,             0.37611,             0.82834,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052429,          0.00052429,          0.00052429
                 136,             0.75055,              0.3724,             0.82738,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00045357,          0.00045357,          0.00045357
                 137,             0.75205,             0.37278,             0.82694,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038286,          0.00038286,          0.00038286
                 138,             0.74495,             0.37033,             0.82623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00031214,          0.00031214,          0.00031214
                 139,             0.74231,             0.36835,             0.82526,             0.56891,             0.49039,             0.48507,             0.24177,              1.6883,              0.9861,              1.0195,          0.00024143,          0.00024143,          0.00024143
